iter	Passed	Remaining
0	374	37041
1	591	28998
2	862	27887
3	1167	28023
4	1552	29496
5	1896	29709
6	2160	28706
7	2402	27633
8	2668	26985
9	2842	25583
10	3002	24295
11	3172	23266
12	3266	21858
13	3375	20738
14	3496	19812
15	3705	19455
16	3855	18825
17	4047	18437
18	4193	17875
19	4266	17067
20	4404	16570
21	4552	16141
22	4668	15627
23	4759	15070
24	4832	14496
25	4917	13996
26	5026	13590
27	5104	13125
28	5148	12605
29	5350	12484
30	5459	12151
31	5528	11748
32	5593	11356
33	5668	11003
34	5740	10660
35	5823	10352
36	5895	10038
37	5963	9730338	6058	9476339	6130	9195440	6196	8917441	6278	8670442	6358	8429443	6443	8201444	6533	7985445	6619	7770446	6694	7548447	6765	7329448	6832	7110449	6903	6903550	6987	6713551	7056	6513552	7137	6329
53	7208	6140
54	7284	5959
55	7365	5787
56	7433	5607557	7517	5443558	7607	5286
59	7675	5116
60	7745	4952
61	7807	4785662	7894	4636
63	7966	4480
64	8036	4327
65	8098	4172666	8168	4023667	8231	3873668	8288	3723669	8365	3585770	8454	3453771	8516	3312772	8586	3175773	8644	3037774	8722	2907775	8798	2778776	8863	2647777	8943	2522778	9032	2401779	9119	2279880	9187	2155881	9252	2030882	9325	1909883	9383	1787884	9450	1667885	9509	1548886	9573	1430887	9636	1314888	9702	1199889	9765	1085990	9836	97291	9884	859
92	9956	749
93	10037	640
94	10113	532
95	10193	424
996	10277	317997	10324	210998	10368	104999	10413	0
